Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,49,511 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 2,162",₹,Screener,Current snapshot
Stock P/E,107,x,Screener,Current snapshot
Book Value,₹ 242,₹,Screener,Current snapshot
Dividend Yield,0.06 %,%,Screener,Current snapshot
ROCE,12.9 %,%,Screener,Current snapshot
ROE,12.1 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
