Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 18,86,291 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,394",₹,Screener,Current snapshot
Stock P/E,47.4,x,Screener,Current snapshot
Book Value,₹ 413,₹,Screener,Current snapshot
Dividend Yield,0.39 %,%,Screener,Current snapshot
ROCE,7.57 %,%,Screener,Current snapshot
ROE,6.61 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
