Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,10,5,6,8,13,12,8,6,12,16,10,11,Days,Screener
Inventory Days,47,50,63,75,71,60,58,78,52,77,79,84,Days,Screener
Days Payable,64,75,123,151,160,119,106,180,151,108,121,115,Days,Screener
Cash Conversion Cycle,-6,-19,-54,-67,-76,-48,-40,-96,-87,-15,-32,-20,Days,Screener
Working Capital Days,-28,-41,-128,-152,-155,-111,-263,-136,-68,-77,-79,-91,Days,Screener
ROCE %,11%,10%,11%,10%,12%,11%,9%,6%,8%,10%,10%,8%,%,Screener
