Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 10,71,597 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,879",₹,Screener,Current snapshot
Stock P/E,49.0,x,Screener,Current snapshot
Book Value,₹ 244,₹,Screener,Current snapshot
Dividend Yield,0.85 %,%,Screener,Current snapshot
ROCE,8.18 %,%,Screener,Current snapshot
ROE,11.4 %,%,Screener,Current snapshot
Face Value,₹ 5.00,₹,Screener,Current snapshot
