Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"16,022","17,940","19,450","21,166","15,954","10,812","4,026","34,392","36,754","43,583","53,209","62,336",Cr,Screener
Cash from Investing Activity +,"-17,086","-12,801","-21,989","-24,283","-17,211","-20,456","-22,272","-13,223","-33,170","-30,006","-34,877","-41,453",Cr,Screener
Cash from Financing Activity +,"1,182","-5,196","1,898","3,456","1,637","9,398","21,114","-23,218","-4,289","-12,500","-19,184","-20,755",Cr,Screener
Net Cash Flow,118,-57,-641,338,380,-246,"2,869","-2,049",-704,"1,076",-852,128,Cr,Screener
