Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"12,433","4,852","7,372","11,167","11,791","15,193","13,454","37,555","41,986","13,506","27,325","23,880",Cr,Screener
Cash from Investing Activity +,"-9,837","-2,382","-4,352","-3,956","-12,273","-16,350","-17,635","-13,665","-34,168","-14,794","-15,702","-34,606",Cr,Screener
Cash from Financing Activity +,"-3,826","-2,957","-2,540","-7,280","4,166","-2,887","4,630","-23,385","-7,368","-5,193","-8,277","9,281",Cr,Screener
Net Cash Flow,"-1,231",-487,480,-69,"3,684","-4,044",449,504,450,"-6,481","3,345","-1,445",Cr,Screener
