Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,65,063 Cr",Cr,Screener,Current snapshot
Current Price,₹ 212,₹,Screener,Current snapshot
Stock P/E,16.9,x,Screener,Current snapshot
Book Value,₹ 107,₹,Screener,Current snapshot
Dividend Yield,1.70 %,%,Screener,Current snapshot
ROCE,12.7 %,%,Screener,Current snapshot
ROE,10.9 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
