Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 5,49,358 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 2,338",₹,Screener,Current snapshot
Stock P/E,51.3,x,Screener,Current snapshot
Book Value,₹ 208,₹,Screener,Current snapshot
Dividend Yield,1.84 %,%,Screener,Current snapshot
ROCE,27.6 %,%,Screener,Current snapshot
ROE,20.6 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
