Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,126,82,94,129,214,178,180,170,99,125,159,186,Days,Screener
Inventory Days,315,227,260,256,218,277,210,245,220,240,223,231,Days,Screener
Days Payable,130,164,216,229,262,214,170,288,175,188,171,210,Days,Screener
Cash Conversion Cycle,311,146,138,155,170,242,220,127,144,177,211,207,Days,Screener
Working Capital Days,60,-278,-168,-227,-129,-95,-9,62,-26,131,182,-5,Days,Screener
ROCE %,0%,-6%,-3%,-0%,5%,8%,11%,4%,8%,17%,13%,17%,%,Screener
