Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 4,16,764 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,737",₹,Screener,Current snapshot
Stock P/E,95.5,x,Screener,Current snapshot
Book Value,₹ 99,₹,Screener,Current snapshot
Dividend Yield,0.92 %,%,Screener,Current snapshot
ROCE,16.8 %,%,Screener,Current snapshot
ROE,17.8 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
