Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"6,589","7,704","6,687","7,371","6,471","10,210","9,068","12,728","7,240","11,192","14,216","13,155",Cr,Screener
Cash from Investing Activity +,254,"-1,480","-9,774","-7,984","5,008",-347,"3,219","-1,283","-12,620","-4,759","2,206","-7,223",Cr,Screener
Cash from Financing Activity +,"-4,089","-1,836","-3,490","-4,368","-12,918","-1,395","-12,233","-12,106",495,"-6,804","-17,159","-5,415",Cr,Screener
Net Cash Flow,"2,754","4,388","-6,577","-4,981","-1,440","8,468",54,-661,"-4,885",-371,-736,517,Cr,Screener
