Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,10,767 Cr",Cr,Screener,Current snapshot
Current Price,₹ 201,₹,Screener,Current snapshot
Stock P/E,17.5,x,Screener,Current snapshot
Book Value,₹ 61,₹,Screener,Current snapshot
Dividend Yield,5.47 %,%,Screener,Current snapshot
ROCE,23.0 %,%,Screener,Current snapshot
ROE,17.8 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
