Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 4,12,971 Cr",Cr,Screener,Current snapshot
Current Price,₹ 415,₹,Screener,Current snapshot
Stock P/E,30.5,x,Screener,Current snapshot
Book Value,₹ 126,₹,Screener,Current snapshot
Dividend Yield,0.12 %,%,Screener,Current snapshot
ROCE,7.45 %,%,Screener,Current snapshot
ROE,15.4 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
