Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"8,999","9,821","10,500","11,193","11,799","12,307","12,746","13,216","13,428","13,530","13,837","13,649","13,903",Cr,Screener
Interest,"3,346","3,718","4,266","4,896","5,246","5,398","5,904","6,197","6,231","6,246","6,577","6,339","6,339",Cr,Screener
Expenses +,"3,900","3,789","4,332","4,368","4,863","4,690","5,096","5,265","5,432","5,903","5,983","5,579","5,832",Cr,Screener
Financing Profit,"1,753","2,314","1,902","1,929","1,690","2,220","1,747","1,755","1,764","1,380","1,276","1,732","1,732",Cr,Screener
Other Income +,"1,948","2,186","2,683","2,315","2,297","2,978","6,449","2,684","2,623","3,182","3,080","2,589","2,838",Cr,Screener
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,Cr,Screener
Profit before tax,"3,701","4,500","4,585","4,244","3,987","5,198","8,196","4,439","4,387","4,563","4,356","4,321","4,570",Cr,Screener
Net Profit +,"2,792","3,496","3,452","3,191","3,005","4,133","6,250","3,344","3,305","3,552","3,282","3,253","3,446",Cr,Screener
EPS in Rs,2.81,3.52,3.47,3.21,3.02,4.16,6.29,3.36,3.32,3.57,3.30,3.27,3.47,₹,Screener
