Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"9,002","4,463","6,134","14,412","-10,275","-3,388","30,159","-5,298","2,161","-8,369","13,901","12,806",Cr,Screener
Cash from Investing Activity +,-549,"-3,454",-52,"-2,976","-2,514",810,"-7,426","-1,782","-1,320",529,"2,031","-19,538",Cr,Screener
Cash from Financing Activity +,"-6,162",-727,"-1,464",257,"9,837","7,633","5,883","-6,586","2,456","-2,542","4,314","19,723",Cr,Screener
Net Cash Flow,"2,291",282,"4,617","11,692","-2,952","5,055","28,617","-13,666","3,297","-10,382","20,246","12,991",Cr,Screener
