Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"15,399","15,042","16,151","21,251","21,881","23,149","29,239","27,614","24,640","35,268","34,790","31,357",Cr,Screener
Cash from Investing Activity +,"-26,518","-23,843","-21,148","-23,434","-22,981","-18,648","-9,368","-7,803","2,189","-4,316","-10,434","-17,897",Cr,Screener
Cash from Financing Activity +,"13,874","6,447","5,387","3,871",-612,"-2,374","-18,712","-20,186","-28,801","-29,264","-25,882","-12,357",Cr,Screener
Net Cash Flow,"2,756","-2,355",391,"1,688","-1,712","2,127","1,159",-375,"-1,973","1,689","-1,526","1,103",Cr,Screener
