Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,77,763 Cr",Cr,Screener,Current snapshot
Current Price,₹ 299,₹,Screener,Current snapshot
Stock P/E,17.7,x,Screener,Current snapshot
Book Value,₹ 106,₹,Screener,Current snapshot
Dividend Yield,3.01 %,%,Screener,Current snapshot
ROCE,13.0 %,%,Screener,Current snapshot
ROE,17.1 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
