Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,70,126 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 6,408",₹,Screener,Current snapshot
Stock P/E,66.1,x,Screener,Current snapshot
Book Value,₹ 578,₹,Screener,Current snapshot
Dividend Yield,0.47 %,%,Screener,Current snapshot
ROCE,20.6 %,%,Screener,Current snapshot
ROE,15.6 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
