Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,25,066 Cr",Cr,Screener,Current snapshot
Current Price,₹ 445,₹,Screener,Current snapshot
Stock P/E,54.6,x,Screener,Current snapshot
Book Value,₹ 29,₹,Screener,Current snapshot
Dividend Yield,0.54 %,%,Screener,Current snapshot
ROCE,39.4 %,%,Screener,Current snapshot
ROE,29.5 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
