Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 4,67,108 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 14,857",₹,Screener,Current snapshot
Stock P/E,32.2,x,Screener,Current snapshot
Book Value,"₹ 3,098",₹,Screener,Current snapshot
Dividend Yield,0.91 %,%,Screener,Current snapshot
ROCE,21.7 %,%,Screener,Current snapshot
ROE,15.6 %,%,Screener,Current snapshot
Face Value,₹ 5.00,₹,Screener,Current snapshot
