Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 74,541 Cr",Cr,Screener,Current snapshot
Current Price,₹ 957,₹,Screener,Current snapshot
Book Value,₹ 830,₹,Screener,Current snapshot
Dividend Yield,0.00 %,%,Screener,Current snapshot
ROCE,6.49 %,%,Screener,Current snapshot
ROE,4.15 %,%,Screener,Current snapshot
Face Value,₹ 10.0,₹,Screener,Current snapshot
