Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"-4,106","-1,421","-2,927","11,569","-20,700","-6,389","-12,039","44,646","16,600","-12,438","-16,843","18,113",Cr,Screener
Cash from Investing Activity +,-174,-276,-258,-285,-217,-633,526,-226,-351,-441,-625,-624,Cr,Screener
Cash from Financing Activity +,"4,200","5,707","2,517","-2,768","15,505","8,590","12,733","-4,096","-4,302","1,115","-2,242","4,876",Cr,Screener
Net Cash Flow,-79,"4,010",-667,"8,516","-5,412","1,568","1,220","40,324","11,947","-11,763","-19,710","22,364",Cr,Screener
