Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"9,457","10,021","10,730","11,248","11,572","12,199","12,547","12,686","12,801","10,634","12,264","11,609","11,373",Cr,Screener
Interest,"4,962","5,351","5,863","6,171","6,277","6,822","7,139","7,339","7,573","7,586","7,624","7,199","6,811",Cr,Screener
Expenses +,"3,956","4,097","4,238","4,451","4,623","4,749","4,972","5,759","5,723","6,646","5,882","6,652","6,050",Cr,Screener
Financing Profit,539,572,629,625,672,628,436,-412,-495,"-3,598","-1,242","-2,242","-1,488",Cr,Screener
Other Income +,"2,076","2,151","2,210","2,282","2,396","2,500","2,441","2,184","2,350",709,"2,156","1,648","1,707",Cr,Screener
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Profit before tax,"2,616","2,723","2,838","2,907","3,068","3,128","2,877","1,772","1,855","-2,889",914,-594,218,Cr,Screener
Net Profit +,"1,959","2,041","2,124","2,181","2,298","2,347","2,152","1,325","1,401","-2,236",684,-445,161,Cr,Screener
EPS in Rs,25.27,26.30,27.37,28.07,29.55,30.15,27.64,17.01,17.99,-28.70,8.78,-5.71,2.07,₹,Screener
