Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Revenue +,"8,254","9,692","11,872","14,406","17,281","22,261","28,783","29,000","30,822","36,368","45,748","48,668","45,879",Cr,Screener
Interest,"5,363","6,272","7,355","8,343","9,783","13,415","16,724","15,472","15,822","18,776","25,132","29,636","29,220",Cr,Screener
Other Income +,"1,891","2,548","3,297","4,171","4,750","5,647","6,951","6,559","7,334","8,166","9,388","7,684","6,220",Cr,Screener
Depreciation,98,127,157,191,212,229,278,305,321,373,425,485,0,Cr,Screener
Profit before tax,"2,128","2,709","3,469","4,360","5,481","4,981","6,121","3,784","6,174","9,860","11,942","3,615","-2,351",Cr,Screener
Tax %,34%,34%,34%,34%,34%,34%,28%,25%,25%,25%,25%,27%,,%,Screener
Net Profit +,"1,408","1,794","2,286","2,868","3,606","3,301","4,418","2,836","4,611","7,390","8,950","2,643","-1,835",Cr,Screener
EPS in Rs,26.80,33.88,38.43,47.95,60.08,54.77,63.70,36.68,59.52,95.24,114.99,33.92,-23.56,₹,Screener
Dividend Payout %,13%,12%,12%,13%,12%,14%,0%,14%,14%,15%,14%,0%,,%,Screener
