Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 3,19,054 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,993",₹,Screener,Current snapshot
Stock P/E,224,x,Screener,Current snapshot
Book Value,₹ 62,₹,Screener,Current snapshot
Dividend Yield,0.05 %,%,Screener,Current snapshot
ROCE,27.4 %,%,Screener,Current snapshot
ROE,20.9 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
