Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,2,7,12,1,6,0,0,0,1,0,0,0,Days,Screener
Cash Conversion Cycle,2,7,12,1,6,0,0,0,1,0,0,0,Days,Screener
Working Capital Days,-126,-80,1,17,23,18,11,25,23,15,7,54,Days,Screener
ROCE %,4%,6%,7%,4%,6%,11%,20%,7%,13%,20%,26%,27%,%,Screener
