Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,62,448,"1,341","2,259","2,353","2,556","3,315","2,402","2,656","2,319","1,778",-25,Cr,Screener
Cash from Investing Activity +,221,27,-697,-844,"-1,910","-2,263","-4,277",-875,"-1,896","-2,190","-5,586","-2,883",Cr,Screener
Cash from Financing Activity +,-274,-448,-663,"-1,404",-451,-299,993,"-1,509",-777,-165,"3,840","2,896",Cr,Screener
Net Cash Flow,10,27,-19,12,-9,-7,31,18,-17,-36,32,-13,Cr,Screener
