Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Debtor Days,40,40,40,42,60,62,66,39,30,22,28,30,Days,Screener
Inventory Days,149,146,132,131,129,110,131,143,153,127,141,121,Days,Screener
Days Payable,55,49,49,84,113,89,132,174,180,133,148,97,Days,Screener
Cash Conversion Cycle,134,137,124,89,77,83,65,8,2,16,21,54,Days,Screener
Working Capital Days,58,68,16,27,-1,10,-25,-65,-42,-28,-37,-11,Days,Screener
ROCE %,8%,5%,10%,13%,9%,8%,4%,2%,6%,6%,4%,2%,%,Screener
