Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 1,90,533 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 2,800",₹,Screener,Current snapshot
Stock P/E,494,x,Screener,Current snapshot
Book Value,₹ 808,₹,Screener,Current snapshot
Dividend Yield,0.36 %,%,Screener,Current snapshot
ROCE,1.52 %,%,Screener,Current snapshot
ROE,0.35 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
