Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"28,506","31,021","33,328","34,920","36,695","37,948","38,996","40,537","41,300","42,431","42,947","41,758","41,966",Cr,Screener
Interest,"12,041","13,354","15,101","16,612","18,016","18,856","19,443","20,489","20,929","21,238","21,312","20,228","20,034",Cr,Screener
Expenses +,"10,475","10,548","10,815","10,438","11,101","10,421","11,862","11,735","11,779","11,679","13,208","12,721","14,500",Cr,Screener
Financing Profit,"5,990","7,119","7,411","7,870","7,577","8,671","7,691","8,313","8,592","9,513","8,426","8,808","7,432",Cr,Screener
Other Income +,"5,024","5,088","5,435","5,777","6,097","5,649","7,002","7,177","7,068","7,260","8,505","7,576","7,368",Cr,Screener
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Profit before tax,"11,014","12,207","12,847","13,647","13,674","14,320","14,693","15,490","15,660","16,774","16,931","16,384","14,800",Cr,Screener
Net Profit +,"8,312","9,122","9,648","10,261","10,272","10,708","11,059","11,746","11,792","12,630","12,768","12,359","11,318",Cr,Screener
EPS in Rs,11.91,13.06,13.79,14.65,14.64,15.25,15.72,16.67,16.70,17.73,17.89,17.30,15.83,₹,Screener
