Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 9,86,915 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,379",₹,Screener,Current snapshot
Stock P/E,20.1,x,Screener,Current snapshot
Book Value,₹ 448,₹,Screener,Current snapshot
Dividend Yield,0.80 %,%,Screener,Current snapshot
ROCE,7.61 %,%,Screener,Current snapshot
ROE,17.8 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
