Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 2,80,922 Cr",Cr,Screener,Current snapshot
Current Price,₹ 718,₹,Screener,Current snapshot
Stock P/E,56.0,x,Screener,Current snapshot
Book Value,₹ 189,₹,Screener,Current snapshot
Dividend Yield,6.06 %,%,Screener,Current snapshot
ROCE,18.5 %,%,Screener,Current snapshot
ROE,21.8 %,%,Screener,Current snapshot
Face Value,₹ 1.00,₹,Screener,Current snapshot
