Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 4,29,970 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 1,384",₹,Screener,Current snapshot
Stock P/E,17.6,x,Screener,Current snapshot
Book Value,₹ 634,₹,Screener,Current snapshot
Dividend Yield,0.07 %,%,Screener,Current snapshot
ROCE,6.95 %,%,Screener,Current snapshot
ROE,16.0 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
