Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"16,703","-16,708","-19,183","34,192","-46,949","37,567","29,613","13,583","33,951","26,902","6,461","49,412",Cr,Screener
Cash from Investing Activity +,"-14,389","-4,278","-5,473","-12,633","-10,253","-18,749","-9,668","-54,180","-27,232","-32,718","-9,178","-51,846",Cr,Screener
Cash from Financing Activity +,"5,490","28,846","21,883","-4,629","50,401","4,931","10,118","5,059","42,538","1,239","10,761","-12,288",Cr,Screener
Net Cash Flow,"7,804","7,860","-2,774","16,931","-6,801","23,750","30,064","-35,538","49,257","-4,576","8,044","-14,722",Cr,Screener
