Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Unit,Source
Revenue +,"22,226","23,970","25,557","26,626","27,961","29,225","30,061","30,420","30,954","31,243","31,064","30,970","32,274",Cr,Screener
Interest,"10,767","12,228","13,598","14,312","15,429","16,136","16,612","16,937","17,348","17,432","17,504","17,226","17,988",Cr,Screener
Expenses +,"8,191","7,668","9,267","9,531","9,974","10,504","11,165","11,697","11,200","11,197","13,250","13,504","11,882",Cr,Screener
Financing Profit,"3,268","4,074","2,692","2,783","2,558","2,585","2,283","1,787","2,406","2,614",309,241,"2,404",Cr,Screener
Other Income +,"4,572","-7,702","5,087","5,034","5,555","6,766","5,783","6,722","5,972","6,780","7,258","6,625","6,226",Cr,Screener
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,Cr,Screener
Profit before tax,"7,840","-3,628","7,779","7,817","8,113","9,350","8,067","8,508","8,378","9,393","7,568","6,865","8,630",Cr,Screener
Net Profit +,"5,853","-5,728","5,797","5,864","6,071","7,130","6,035","6,918","6,304","7,118","5,806","5,090","6,490",Cr,Screener
EPS in Rs,19.03,-18.62,18.82,19.03,19.69,23.10,19.53,22.36,20.37,22.98,18.72,16.40,20.90,₹,Screener
