Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Revenue +,"30,641","35,479","40,988","44,542","45,780","54,986","62,635","63,346","67,377","85,164","109,369","122,677","125,551",Cr,Screener
Interest,"18,690","21,254","24,155","26,449","27,163","33,278","37,429","34,107","34,245","42,218","59,474","68,329","70,149",Cr,Screener
Other Income +,"7,405","8,365","9,371","11,691","10,967","13,130","15,537","12,264","15,221","16,143","22,442","25,257","26,888",Cr,Screener
Depreciation,364,406,444,509,568,710,773,948,"1,008","13,094","1,334","1,699",0,Cr,Screener
Profit before tax,"9,349","11,057","12,394","5,468",122,"6,974","4,904","8,806","17,383","16,906","33,060","34,347","32,456",Cr,Screener
Tax %,33%,33%,34%,33%,-127%,33%,67%,25%,25%,43%,25%,23%,,%,Screener
Net Profit +,"6,218","7,358","8,224","3,679",276,"4,677","1,627","6,588","13,025","9,580","24,861","26,373","24,503",Cr,Screener
EPS in Rs,26.47,31.04,34.51,15.36,1.07,18.19,5.77,21.50,42.43,31.13,80.55,85.15,79.00,₹,Screener
Dividend Payout %,15%,15%,14%,33%,0%,6%,0%,0%,2%,3%,1%,1%,,%,Screener
