Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 4,22,476 Cr",Cr,Screener,Current snapshot
Current Price,"₹ 3,397",₹,Screener,Current snapshot
Stock P/E,27.5,x,Screener,Current snapshot
Book Value,₹ 535,₹,Screener,Current snapshot
Dividend Yield,0.74 %,%,Screener,Current snapshot
ROCE,27.0 %,%,Screener,Current snapshot
ROE,20.8 %,%,Screener,Current snapshot
Face Value,₹ 5.00,₹,Screener,Current snapshot
