Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,"3,728","3,219","5,470","3,971","7,027","4,924","3,678","9,594","6,977","9,129","11,474","16,617",Cr,Screener
Cash from Investing Activity +,"-2,362","-2,423","-3,538","-3,221","-5,110","-2,549","-2,576","-14,564","-3,961","-4,753","-5,361","-13,874",Cr,Screener
Cash from Financing Activity +,-824,"-1,585","-2,007","-1,056","-1,033","-1,555","-1,015","3,514","-3,166","-3,784","-5,547","-3,355",Cr,Screener
Net Cash Flow,542,-788,-75,-305,884,820,86,"-1,456",-150,593,566,-612,Cr,Screener
