Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Unit,Source
Cash from Operating Activity +,-163,-15,"1,555","2,801",-796,450,"-1,257",-161,-74,-17,-48,916,Cr,Screener
Cash from Investing Activity +,-540,-566,"2,156","-1,844",32,534,"-3,503",518,"1,180",408,-107,-612,Cr,Screener
Cash from Financing Activity +,624,588,"-3,685",-898,"1,058","-1,414","4,780",-199,-889,-510,179,331,Cr,Screener
Net Cash Flow,-79,7,27,59,293,-430,20,157,216,-119,24,635,Cr,Screener
