Metric,Value,Unit,Source,Data Point
Market Cap,"₹ 57,071 Cr",Cr,Screener,Current snapshot
Current Price,₹ 42,₹,Screener,Current snapshot
Stock P/E,18.3,x,Screener,Current snapshot
Book Value,₹ 5,₹,Screener,Current snapshot
Dividend Yield,0.00 %,%,Screener,Current snapshot
ROCE,36.2 %,%,Screener,Current snapshot
ROE,45.6 %,%,Screener,Current snapshot
Face Value,₹ 2.00,₹,Screener,Current snapshot
