Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Unit,Source
Debtor Days,1,0,1,1,2,1,1,2,1,1,1,1,Days,Screener
Cash Conversion Cycle,1,0,1,1,2,1,1,2,1,1,1,1,Days,Screener
Working Capital Days,"-1,068",-975,"-1,261","-1,233","-1,295","-1,131",-450,-371,-43,-67,-76,-64,Days,Screener
ROCE %,12%,12%,12%,12%,12%,11%,10%,10%,11%,8%,8%,8%,%,Screener
