Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Unit,Source
Cash from Operating Activity +,"-23,755","-19,840","-21,469","-25,469","-27,405","-36,119","-55,904","-41,166","-43,817","-28,437","-44,410","-41,623",Cr,Screener
Cash from Investing Activity +,180,-867,152,199,853,"-1,398","-3,587","-9,952","-5,854","-8,500","-14,572","-26,894",Cr,Screener
Cash from Financing Activity +,"22,695","21,531","23,628","22,392","26,301","39,088","56,506","50,246","52,452","34,565","58,777","68,653",Cr,Screener
Net Cash Flow,-880,825,"2,311","-2,878",-250,"1,571","-2,985",-871,"2,781","-2,372",-204,136,Cr,Screener
